VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1H28F,King,Sammamish,WA,98074.0,2015,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,34228,45.0,203645494,POINT (-122.0430602 47.6259676),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032316.0
5YJSA1S17E,King,Bellevue,WA,98008.0,2014,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,69900,48.0,257335543,POINT (-122.1197677 47.6103472),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023300.0
5YJSA1E29G,King,Bothell,WA,98011.0,2016,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,37417,1.0,350359796,POINT (-122.201408 47.754528),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022001.0
5YJ3E1EA4K,King,Kirkland,WA,98034.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,45096,45.0,477469044,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903.0
5YJSA1E20J,Kitsap,Bainbridge Island,WA,98110.0,2018,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,249.0,127475,23.0,475065559,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090800.0
5YJ3E1EB6L,King,Clyde Hill,WA,98004.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,87677,48.0,3564011,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024100.0
5YJ3E1EA5L,King,Bellevue,WA,98004.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,49305,41.0,260727134,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023801.0
5YJSA1E22H,King,Bellevue,WA,98008.0,2017,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,125149,48.0,187119978,POINT (-122.1197677 47.6103472),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023403.0
1G1FX6S07H,Snohomish,Mill Creek,WA,98012.0,2017,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,139046,44.0,348835588,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052004.0
5YJ3E1EA3J,King,Redmond,WA,98052.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,106676,45.0,474970905,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323.0
5YJ3E1EA5J,King,Seattle,WA,98122.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,52080,37.0,188736250,POINT (-122.3128637 47.6104992),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800.0
5YJXCDE21H,Kitsap,Seabeck,WA,98380.0,2017,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,114571,35.0,296943104,POINT (-122.8728334 47.5798304),PUGET SOUND ENERGY INC,53035091301.0
1G1FY6S04K,King,Kent,WA,98031.0,2019,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,130105,47.0,256070006,POINT (-122.201564 47.402358),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029307.0
WP0AB2Y18M,King,Kirkland,WA,98033.0,2021,PORSCHE,TAYCAN,BEV,Clean Alternative Fuel Vehicle Eligible,203.0,137244,48.0,255036932,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.0
5YJ3E1EA3K,Kitsap,Bainbridge Island,WA,98110.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,65742,23.0,269094633,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090700.0
5YJ3E1EA1L,King,Newcastle,WA,98056.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,46459,41.0,2677181,POINT (-122.1819876 47.5098889),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024703.0
